nch,z,interval,q,se_q
2000,0.5,0.2,0.0021026036662643278,0.01820728511072624
2000,0.5,0.5,3.7270507282673095e-4,0.002468677576292555
2000,0.5,1,8.780713493726265e-4,0.007241394794784148
2000,1,0.01,6.521485642250783e-4,0.004573566320740072
2000,1,0.02,9.169528089253698e-4,0.002601893771123837
2000,1,0.05,5.09661615651881e-4,0.005308511328381772
2000,1,0.1,3.649664199543438e-4,0.0014453236432105123
2000,1,0.2,4.584291501956177e-4,0.005079048356809992
2000,1,0.5,5.935859927135073e-4,0.009781526079014183
2000,1,1,7.867600466691636e-4,0.010927876374688292
2000,10,0.01,4.8637835358032424e-4,0.0051003980521883065
2000,10,0.02,0.0011688877680836101,0.0075473513366930214
2000,10,0.05,4.380289528111983e-4,0.006068676942606941
2000,10,0.1,2.5352446749986893e-4,0.003510913846273944
2000,10,0.2,3.4049831243033595e-4,0.007792796468882829
2000,10,0.5,5.343920160090545e-4,8.393242398949123e-4
2000,10,1,7.709661078685264e-4,0.0015947750786771229
5000,0.05,0.01,5.072324845029154e-4,0.004791813204894749
5000,0.05,0.02,2.1951301372400502e-4,4.4689041814954496e-4
5000,0.05,0.05,5.454422455889533e-4,5.136298773097594e-4
5000,0.05,0.1,5.743010139616602e-4,0.0035238685336678203
5000,0.05,0.2,7.642012784049524e-4,0.002086627993752878
5000,0.05,0.5,8.874541642668615e-4,0.01744294362590286
5000,0.05,1,6.074155040144803e-4,8.056814237343296e-4
5000,0.1,0.01,2.1401900690622296e-4,0.0029617184764089708
